{'request_number': 265067, 'result': 23234, 'worker_start_time': 1739767743.049247, 'waiting_time': 0.1065223217010498, 'start_process_time': 153078.714654136, 'real_process_time': 4.975636899995152, 'data_prepare_time': 6.457994459196925e-06, 'finish_time': 153083.690296974, 'user_cpu_time': 4.000000000000001, 'system_cpu_time': 0.0, 'contention_time': 0.975636899995151, 'cpu_spent_usage': 80.39171829447399, 'request_id': 17, 'predicted_processing_time': 7.9147796630859375, 'waiting_jobs': 15, 'response_time': 6.709081900000456}
{'request_number': 201604, 'result': 18108, 'worker_start_time': 1739767748.132381, 'waiting_time': 1.6842854022979736, 'start_process_time': 153083.797790138, 'real_process_time': 3.3174574809963815, 'data_prepare_time': 3.905995981767774e-06, 'finish_time': 153087.115252619, 'user_cpu_time': 2.6799999999999997, 'system_cpu_time': 0.0, 'contention_time': 0.6374574809963818, 'cpu_spent_usage': 80.78475806704462, 'request_id': 50, 'predicted_processing_time': 5.726076602935791, 'waiting_jobs': 47, 'response_time': 10.024860400008038}
{'request_number': 60478, 'result': 6098, 'worker_start_time': 1739767751.5564904, 'waiting_time': 5.224302530288696, 'start_process_time': 153087.221899953, 'real_process_time': 0.5876507259963546, 'data_prepare_time': 4.218978574499488e-06, 'finish_time': 153087.809555939, 'user_cpu_time': 0.4900000000000002, 'system_cpu_time': 0.0, 'contention_time': 0.09765072599635438, 'cpu_spent_usage': 83.38286303811013, 'request_id': 49, 'predicted_processing_time': 1.6529028415679932, 'waiting_jobs': 46, 'response_time': 10.627306099995621}
{'request_number': 224108, 'result': 19946, 'worker_start_time': 1739767752.250798, 'waiting_time': 6.027179002761841, 'start_process_time': 153087.916207232, 'real_process_time': 3.889466549997451, 'data_prepare_time': 4.219007678329945e-06, 'finish_time': 153091.805679042, 'user_cpu_time': 3.129999999999999, 'system_cpu_time': 0.0, 'contention_time': 0.7594665499974518, 'cpu_spent_usage': 80.4737605984052, 'request_id': 48, 'predicted_processing_time': 5.114596366882324, 'waiting_jobs': 45, 'response_time': 14.513769600001979}
{'request_number': 122230, 'result': 11498, 'worker_start_time': 1739767756.246816, 'waiting_time': 10.133049726486206, 'start_process_time': 153091.912225492, 'real_process_time': 1.5981379919976462, 'data_prepare_time': 4.011002602055669e-06, 'finish_time': 153093.510368588, 'user_cpu_time': 1.3000000000000007, 'system_cpu_time': 0.0, 'contention_time': 0.29813799199764546, 'cpu_spent_usage': 81.34466526104057, 'request_id': 47, 'predicted_processing_time': 2.154005765914917, 'waiting_jobs': 44, 'response_time': 16.10862189999898}
{'request_number': 16967, 'result': 1956, 'worker_start_time': 1739767757.9515867, 'waiting_time': 11.924351930618286, 'start_process_time': 153093.616996131, 'real_process_time': 0.09057151302113198, 'data_prepare_time': 4.322995664551854e-06, 'finish_time': 153093.707572436, 'user_cpu_time': 0.08999999999999986, 'system_cpu_time': 0.0, 'contention_time': 0.0005715130211321195, 'cpu_spent_usage': 
99.36899252086164, 'request_id': 46, 'predicted_processing_time': 1.6529028415679932, 'waiting_jobs': 43, 'response_time': 16.1961358999979}      
{'request_number': 61891, 'result': 6222, 'worker_start_time': 1739767758.148627, 'waiting_time': 12.22249984741211, 'start_process_time': 153093.814036438, 'real_process_time': 0.6030301959835924, 'data_prepare_time': 4.011002602055669e-06, 'finish_time': 153094.417071738, 'user_cpu_time': 0.5100000000000016, 'system_cpu_time': 0.0, 'contention_time': 0.09303019598359086, 'cpu_spent_usage': 84.57287933453301, 'request_id': 45, 'predicted_processing_time': 1.6529028415679932, 'waiting_jobs': 42, 'response_time': 16.796825800003717}
{'request_number': 296581, 'result': 25736, 'worker_start_time': 1739767758.8579886, 'waiting_time': 13.02599048614502, 'start_process_time': 153094.523397824, 'real_process_time': 5.870212492009159, 'data_prepare_time': 4.1660096030682325e-06, 'finish_time': 153100.393614847, 'user_cpu_time': 4.709999999999997, 'system_cpu_time': 0.010000000000000009, 'contention_time': 1.150212492009162, 'cpu_spent_usage': 80.40594793502123, 'request_id': 44, 'predicted_processing_time': 7.481689929962158, 'waiting_jobs': 41, 'response_time': 22.664654899999732}
{'request_number': 222839, 'result': 19841, 'worker_start_time': 1739767764.8355956, 'waiting_time': 19.098763465881348, 'start_process_time': 153100.501004991, 'real_process_time': 3.8626241039892193, 'data_prepare_time': 4.011002602055669e-06, 'finish_time': 153104.363633886, 'user_cpu_time': 3.1000000000000014, 'system_cpu_time': 0.0, 'contention_time': 0.7626241039892179, 'cpu_spent_usage': 80.25632100204628, 'request_id': 43, 'predicted_processing_time': 4.906463623046875, 'waiting_jobs': 40, 'response_time': 26.52545590000227}
{'request_number': 108970, 'result': 10363, 'worker_start_time': 1739767768.8056328, 'waiting_time': 23.17852544784546, 'start_process_time': 153104.471042207, 'real_process_time': 1.342759949999163, 'data_prepare_time': 4.009983967989683e-06, 'finish_time': 153105.813807313, 'user_cpu_time': 1.1099999999999994, 'system_cpu_time': 0.0, 'contention_time': 0.2327599499991635, 'cpu_spent_usage': 82.66555760772366, 'request_id': 42, 'predicted_processing_time': 1.7849500179290771, 'waiting_jobs': 39, 'response_time': 27.86770860000979}
