[ubuntuDockerWorker2] => mem: 0.0087 | hdd: 80% | timestamp: 1713946002.805508 
[ubuntuDockerWorker2] => mem: 0.0087 | hdd: 80% | timestamp: 1713946003.8070703 
[ubuntuDockerWorker2] => mem: 0.0087 | hdd: 80% | timestamp: 1713946004.8029976 
[ubuntuDockerWorker2] => mem: 0.0087 | hdd: 80% | timestamp: 1713946005.8144982 
[ubuntuDockerWorker2] => mem: 0.0087 | hdd: 80% | timestamp: 1713946006.882945 
[ubuntuDockerWorker2] => mem: 0.0087 | hdd: 80% | timestamp: 1713946007.8207757 
[ubuntuDockerWorker2] => mem: 0.0087 | hdd: 80% | timestamp: 1713946008.9171958 
[ubuntuDockerWorker2] => mem: 0.0087 | hdd: 80% | timestamp: 1713946009.9258122 
[ubuntuDockerWorker2] => mem: 0.0087 | hdd: 80% | timestamp: 1713946010.866978 
[ubuntuDockerWorker2] => mem: 0.0087 | hdd: 80% | timestamp: 1713946011.9823608 
[ubuntuDockerWorker2] => mem: 0.0087 | hdd: 80% | timestamp: 1713946013.1806116 
[ubuntuDockerWorker2] => mem: 0.0338 | hdd: 80% | timestamp: 1713946014.8792088 
[ubuntuDockerWorker2] => mem: 0.0579 | hdd: 80% | timestamp: 1713946015.8910646 
[ubuntuDockerWorker2] => mem: 0.069 | hdd: 80% | timestamp: 1713946016.9692438 
[ubuntuDockerWorker2] => mem: 0.0886 | hdd: 80% | timestamp: 1713946017.888619 
[ubuntuDockerWorker2] => mem: 0.1061 | hdd: 80% | timestamp: 1713946019.0136101 
[ubuntuDockerWorker2] => mem: 0.1306 | hdd: 80% | timestamp: 1713946021.0988243 
[ubuntuDockerWorker2] => mem: 0.1335 | hdd: 80% | timestamp: 1713946022.0089953 
[ubuntuDockerWorker3] => mem: 0.0024 | hdd: 77% | timestamp: 1713946024.6286032 
[ubuntuDockerWorker2] => mem: 0.1411 | hdd: 80% | timestamp: 1713946024.6764033 
[ubuntuDockerWorker3] => mem: 0.0167 | hdd: 77% | timestamp: 1713946027.3217888 
[ubuntuDockerWorker2] => mem: 0.1176 | hdd: 80% | timestamp: 1713946027.4019032 
[ubuntuDockerWorker1] => mem: 0.0197 | hdd: 80% | timestamp: 1713946027.4654672 
[ubuntuDockerWorker3] => mem: 0.014 | hdd: 77% | timestamp: 1713946028.8044097 
[ubuntuDockerWorker1] => mem: 0.0276 | hdd: 80% | timestamp: 1713946028.9900255 
[ubuntuDockerWorker2] => mem: 0.0942 | hdd: 80% | timestamp: 1713946029.0392482 
[ubuntuDockerWorker3] => mem: 0.0027 | hdd: 77% | timestamp: 1713946030.8863385 
[ubuntuDockerWorker1] => mem: 0.0445 | hdd: 80% | timestamp: 1713946031.0889373 
[ubuntuDockerWorker2] => mem: 0.0641 | hdd: 80% | timestamp: 1713946031.2788804 
[ubuntuDockerWorker3] => mem: 0.0068 | hdd: 77% | timestamp: 1713946032.9304574 
[ubuntuDockerWorker1] => mem: 0.0468 | hdd: 80% | timestamp: 1713946033.140694 
[ubuntuDockerWorker2] => mem: 0.0513 | hdd: 80% | timestamp: 1713946033.177732 
[ubuntuDockerWorker2] => mem: 0.0513 | hdd: 80% | timestamp: 1713946034.45597 
[ubuntuDockerWorker3] => mem: 0.0328 | hdd: 77% | timestamp: 1713946034.4888895 
[ubuntuDockerWorker1] => mem: 0.0605 | hdd: 80% | timestamp: 1713946034.6004999 
[ubuntuDockerWorker3] => mem: 0.028 | hdd: 77% | timestamp: 1713946036.0489416 
[ubuntuDockerWorker1] => mem: 0.0732 | hdd: 80% | timestamp: 1713946036.276051 
[ubuntuDockerWorker2] => mem: 0.0485 | hdd: 80% | timestamp: 1713946036.314309 
[ubuntuDockerWorker3] => mem: 0.0213 | hdd: 77% | timestamp: 1713946038.3948934 
[ubuntuDockerWorker2] => mem: 0.0316 | hdd: 80% | timestamp: 1713946038.5138006 
[ubuntuDockerWorker1] => mem: 0.0529 | hdd: 80% | timestamp: 1713946038.678356 
[ubuntuDockerWorker3] => mem: 0.0408 | hdd: 77% | timestamp: 1713946040.4244988 
[ubuntuDockerWorker2] => mem: 0.009 | hdd: 80% | timestamp: 1713946040.7696912 
